日付,順位,コード,銘柄名,市場,株価,S高,前日比,前日比(%),約定回数,ＰＥＲ,ＰＢＲ,利回り
2021/12/07,1,9984,ＳＢＧ,東１,"5,508",,+405,+7.94%,"65,839",－,0.89,0.80
2021/12/07,2,7078,ＩＮＣ,東Ｍ,"2,867",,+54,+1.92%,"38,012","2,047",15.04,－
2021/12/07,3,2158,フロンテオ,東Ｍ,"2,325",,-235,-9.18%,"37,711",82.9,17.14,0.30
2021/12/07,4,1570,日経レバ,東Ｅ,"15,440",,+700,+4.75%,"29,027",－,－,－
2021/12/07,5,4689,ＺＨＤ,東１,722.0,,-20.0,-2.70%,"24,663",－,2.03,0.77
2021/12/07,6,6920,レーザーテク,東１,"29,950",,"+1,145",+3.98%,"21,617",128,52.66,0.27
2021/12/07,7,3936,ＧＷ,東Ｍ,556,S,-100,-15.24%,"20,584",66.9,45.17,－
2021/12/07,8,8306,三菱ＵＦＪ,東１,635.1,,+12.5,+2.01%,"19,954",7.7,0.46,4.41
2021/12/07,9,7203,トヨタ,東１,"2,105.0",,+39.0,+1.89%,"18,230",11.7,1.18,－
2021/12/07,10,4591,リボミック,東Ｍ,777,,+44,+6.00%,"15,227",－,4.15,－
2021/12/07,11,7201,日産自,東１,570.1,,+19.2,+3.49%,"14,575",12.4,0.54,－
2021/12/07,12,5401,日本製鉄,東１,"1,887.5",,+69.0,+3.79%,"13,499",3.3,0.55,－
2021/12/07,13,9202,ＡＮＡＨＤ,東１,"2,389.5",,+88.0,+3.82%,"13,089",－,1.41,－
2021/12/07,14,9107,川崎汽,東１,"6,800",,+250,+3.82%,"12,621",1.7,1.35,4.41
2021/12/07,15,1360,日経ベア２,東Ｅ,965.1,,-50.4,-4.96%,"12,598",－,－,－
2021/12/07,16,6501,日立,東１,"6,681",,-15,-0.22%,"12,236",11.7,1.69,－
2021/12/07,17,9250,ＧＲＣＳ,東Ｍ,"9,560",,"+1,040",+12.21%,"12,006",86.3,59.03,－
2021/12/07,18,4188,三菱ケミＨＤ,東１,858.0,,+11.1,+1.31%,"11,093",6.4,0.92,3.50
2021/12/07,19,4568,第一三共,東１,"2,719.5",,+48.5,+1.82%,"10,950",81.4,3.97,0.99
2021/12/07,20,9104,商船三井,東１,"8,150",,+400,+5.16%,"10,695",2.0,1.12,9.82
2021/12/07,21,6098,リクルート,東１,"7,199",,+122,+1.72%,"10,182",43.8,9.35,0.29
2021/12/07,22,9201,ＪＡＬ,東１,"2,183",,+96,+4.60%,"9,557",－,1.13,－
2021/12/07,23,2413,エムスリー,東１,"5,915",,+163,+2.83%,"9,179",－,17.35,－
2021/12/07,24,3436,ＳＵＭＣＯ,東１,"2,440",,+75,+3.17%,"8,817",23.8,2.53,1.48
2021/12/07,25,6981,村田製,東１,"8,516",,+131,+1.56%,"8,746",20.1,2.65,1.41
2021/12/07,26,8316,三井住友ＦＧ,東１,"3,915",,+75,+1.95%,"8,452",8.0,0.44,5.36
2021/12/07,27,6178,日本郵政,東１,887.0,,+12.3,+1.41%,"8,111",7.0,0.25,5.64
2021/12/07,28,8001,伊藤忠,東１,"3,514.0",,+103.0,+3.02%,"7,965",7.0,1.39,3.13
2021/12/07,29,5020,ＥＮＥＯＳ,東１,440.1,,+10.1,+2.35%,"7,939",5.0,0.56,5.00
2021/12/07,30,8698,マネックスＧ,東１,855,,+57,+7.14%,"7,733",－,2.21,－
2021/12/07,31,8031,三井物,東１,"2,621.5",,+67.5,+2.64%,"7,704",5.9,0.90,3.62
2021/12/07,32,5411,ＪＦＥ,東１,"1,434",,+56,+4.06%,"7,630",3.3,0.45,－
2021/12/07,33,7751,キヤノン,東１,"2,615.5",,+80.5,+3.18%,"7,583",13.6,1.00,3.44
2021/12/07,34,9603,ＨＩＳ,東１,"2,106",,+107,+5.35%,"7,398",－,2.61,－
2021/12/07,35,4502,武田,東１,"3,150.0",,+61.0,+1.97%,"7,086",26.6,0.92,5.71
2021/12/07,36,8591,オリックス,東１,"2,303.0",,+46.0,+2.04%,"7,059",11.0,0.88,3.39
2021/12/07,37,2929,ファーマＦ,東１,"2,325",,+65,+2.88%,"6,947",16.8,7.68,0.86
2021/12/07,38,7267,ホンダ,東１,"3,258.0",,+70.0,+2.20%,"6,945",10.1,0.59,3.38
2021/12/07,39,8801,三井不,東１,"2,536.5",,+79.5,+3.24%,"6,937",15.2,0.92,1.73
2021/12/07,40,9101,郵船,東１,"8,320",,+270,+3.35%,"6,935",2.0,1.36,9.62
2021/12/07,41,6723,ルネサス,東１,"1,412",,+10,+0.71%,"6,933",－,2.63,－
2021/12/07,42,9434,ＳＢ,東１,"1,515.5",,-14.5,-0.95%,"6,856",14.3,4.33,5.67
2021/12/07,43,4901,富士フイルム,東１,"8,637",,+51,+0.59%,"6,836",19.7,1.51,1.27
2021/12/07,44,6326,クボタ,東１,"2,528.0",,+40.5,+1.63%,"6,815",16.6,1.86,1.66
2021/12/07,45,4412,サイエンスＡ,東Ｍ,"10,620",S,"+1,500",+16.45%,"6,807",－,147,－
2021/12/07,46,6301,コマツ,東１,"2,800.5",,+58.0,+2.11%,"6,703",14.2,1.33,2.86
2021/12/07,47,8604,野村,東１,500.1,,+12.5,+2.56%,"6,594",－,0.56,－
2021/12/07,48,6758,ソニーＧ,東１,"13,985",,+305,+2.23%,"6,535",23.7,2.45,－
2021/12/07,49,6752,パナソニック,東１,"1,271.0",,+29.0,+2.33%,"6,514",12.4,1.07,－
2021/12/07,50,3402,東レ,東１,705.0,,+18.1,+2.64%,"6,491",12.1,0.86,2.27
2021/12/07,51,7733,オリンパス,東１,"2,440.5",,+40.5,+1.69%,"6,453",28.8,7.03,0.57
2021/12/07,52,8058,三菱商,東１,"3,587.0",,+97.0,+2.78%,"6,442",7.2,0.90,3.96
2021/12/07,53,6503,三菱電,東１,"1,470.0",,+25.5,+1.77%,"6,246",14.2,1.12,－
2021/12/07,54,2914,ＪＴ,東１,"2,351.0",,+26.5,+1.14%,"6,229",12.6,1.50,5.95
2021/12/07,55,7453,良品計画,東１,"1,842",,+92,+5.26%,"6,221",15.1,2.28,2.17
2021/12/07,56,7187,ジェイリース,東１,"2,196",,+76,+3.58%,"6,169",18.4,11.18,1.37
2021/12/07,57,8802,菱地所,東１,"1,617.5",,+19.5,+1.22%,"6,164",15.2,1.12,2.04
2021/12/07,58,4528,小野薬,東１,"2,711.0",,+61.5,+2.32%,"6,138",16.6,2.01,2.07
2021/12/07,59,8002,丸紅,東１,"1,070.5",,+50.5,+4.95%,"6,096",5.3,1.00,4.76
2021/12/07,60,8750,第一生命ＨＤ,東１,"2,384.0",,+43.0,+1.84%,"6,074",7.2,0.50,3.36
2021/12/07,61,9432,ＮＴＴ,東１,"3,150.0",,+70.0,+2.27%,"6,066",10.3,1.40,3.49
2021/12/07,62,4503,アステラス,東１,"1,781.0",,+16.0,+0.91%,"6,026",19.0,2.33,2.81
2021/12/07,63,1579,日経ブル２,東Ｅ,"16,485",,+755,+4.80%,"5,997",－,－,－
2021/12/07,64,1552,ＶＩＸ短先物,東Ｅ,"2,258",,-201,-8.17%,"5,995",－,－,－
2021/12/07,65,8308,りそなＨＤ,東１,439.0,,+9.2,+2.14%,"5,994",7.3,0.41,4.78
2021/12/07,66,8601,大和,東１,659.1,,+17.9,+2.79%,"5,930",－,0.73,－
2021/12/07,67,9020,ＪＲ東日本,東１,"7,225",,+219,+3.13%,"5,900",－,1.15,1.38
2021/12/07,68,7269,スズキ,東１,"4,660",,+176,+3.93%,"5,832",15.1,1.30,－
2021/12/07,69,4004,昭電工,東１,"2,559",,+131,+5.40%,"5,747",－,0.94,2.54
2021/12/07,70,6779,日電波,東１,"1,729",,+238,+15.96%,"5,654",8.5,2.07,0.29
2021/12/07,71,8035,東エレク,東１,"61,190",,"+1,130",+1.88%,"5,562",23.8,8.12,2.10
2021/12/07,72,1458,楽天Ｗブル,東Ｅ,"18,070",,+820,+4.75%,"5,555",－,－,－
2021/12/07,73,8411,みずほＦＧ,東１,"1,464.0",,+22.0,+1.53%,"5,543",7.0,0.39,5.46
2021/12/07,74,9021,ＪＲ西日本,東１,"5,133",,+243,+4.97%,"5,493",－,1.22,1.95
2021/12/07,75,3659,ネクソン,東１,"2,231",,+41,+1.87%,"5,454",21.1,2.48,0.22
2021/12/07,76,2484,出前館,ＪＱ,828,,+52,+6.70%,"5,444",－,13.84,－
2021/12/07,77,1357,日経Ｄインバ,東Ｅ,396,,-19,-4.58%,"5,373",－,－,－
2021/12/07,78,7013,ＩＨＩ,東１,"2,337",,+83,+3.68%,"5,261",10.1,1.11,2.57
2021/12/07,79,2502,アサヒ,東１,"4,586",,+157,+3.54%,"5,260",15.6,1.39,2.38
2021/12/07,80,3407,旭化成,東１,"1,139.5",,+19.5,+1.74%,"5,252",8.5,1.02,2.98
2021/12/07,81,8830,住友不,東１,"3,644.0",,+40.0,+1.11%,"5,238",11.5,1.08,1.23
2021/12/07,82,4519,中外薬,東１,"3,628.0",,+100.0,+2.83%,"4,918",－,5.47,－
2021/12/07,83,4911,資生堂,東１,"6,833",,+157,+2.35%,"4,904",91.0,5.16,0.73
2021/12/07,84,1605,ＩＮＰＥＸ,東１,974,,+27,+2.85%,"4,902",7.3,0.45,4.11
2021/12/07,85,4751,サイバー,東１,"1,983",,+31,+1.59%,"4,813",－,7.78,－
2021/12/07,86,4080,田中化研,ＪＱ,"1,537",,+15,+0.99%,"4,795",76.9,3.81,－
2021/12/07,87,4582,シンバイオ,ＪＧ,"1,202",,+61,+5.35%,"4,729",40.1,10.22,－
2021/12/07,88,9433,ＫＤＤＩ,東１,"3,356.0",,+22.0,+0.66%,"4,709",11.4,1.53,3.72
2021/12/07,89,7270,ＳＵＢＡＲＵ,東１,"2,122.5",,+76.5,+3.74%,"4,689",14.8,0.90,2.64
2021/12/07,90,7011,三菱重,東１,"2,711.5",,+75.5,+2.86%,"4,640",9.1,0.66,3.32
2021/12/07,91,4543,テルモ,東１,"4,701",,+85,+1.84%,"4,412",38.6,3.93,0.68
2021/12/07,92,6902,デンソー,東１,"8,722",,+160,+1.87%,"4,403",19.9,1.66,1.83
2021/12/07,93,8113,ユニチャーム,東１,"4,820",,+23,+0.48%,"4,378",38.3,5.37,0.75
2021/12/07,94,8053,住友商,東１,"1,644.5",,+52.5,+3.30%,"4,329",5.4,0.75,5.47
2021/12/07,95,4507,塩野義,東１,"7,550",,+17,+0.23%,"4,321",22.8,2.58,1.46
2021/12/07,96,1928,積水ハウス,東１,"2,413.5",,+68.0,+2.90%,"4,319",11.0,1.16,3.65
2021/12/07,97,5108,ブリヂストン,東１,"4,933",,+114,+2.37%,"4,289",10.7,1.34,3.45
2021/12/07,98,6586,マキタ,東１,"5,101",,+93,+1.86%,"4,263",21.3,2.03,－
2021/12/07,99,4452,花王,東１,"6,136",,+129,+2.15%,"4,234",22.9,3.19,2.35
2021/12/07,100,1332,日水,東１,556,,-33,-5.60%,"4,156",10.2,0.94,1.98
2021/12/07,101,4755,楽天グループ,東１,"1,131",,+24,+2.17%,"4,152",－,1.60,－
2021/12/07,102,3031,ラクーンＨＤ,東１,"1,250",,+133,+11.91%,"4,114",38.3,5.39,1.60
2021/12/07,103,2503,キリンＨＤ,東１,"1,890.0",,+49.0,+2.66%,"4,108",18.2,1.83,3.44
2021/12/07,104,8309,三井住友トラ,東１,"3,835",,+61,+1.62%,"4,060",9.3,0.52,4.17
2021/12/07,105,2479,ジェイテック,ＪＧ,211,,+12,+6.03%,"4,054",87.9,1.93,0.47
