発表日,時刻,決算,連単,コード,銘柄,市場,業種,時価総額
6/11,15:00,1Q,連,5337,ダントーHD,東1,ｶﾞﾗｽ土石製品,89
6/11,15:00,2Q,連,7034,プロレド,東1,サービス業,353
6/11,-,2Q,連,1383,ベルグアース,JQ,水産・農林業,30
6/11,-,本,連,2159,フルスピード,東2,サービス業,66
6/11,-,2Q,連,2375,ギグワークス,東2,サービス業,209
6/11,-,本,単,2438,アスカネット,マザ,サービス業,175
6/11,-,1Q,連,2983,アールプランナ,マザ,不動産業,33
6/11,-,2Q,連,3038,神戸物産,東1,卸売業,"7,792"
6/11,-,1Q,連,3159,丸善CHI,東1,小売業,371
6/11,-,本,連,3161,アゼアス,東2,卸売業,54
6/11,-,本,連,3180,Bガレージ,東1,卸売業,235
6/11,-,3Q,連,3193,鳥貴族HD,東1,小売業,228
6/11,-,2Q,連,3248,アールエイジ,東2,不動産業,20
6/11,-,1Q,連,3320,クロスプラス,東2,卸売業,83
6/11,-,本,連,3361,トーエル,東1,小売業,168
6/11,-,3Q,連,3418,バルニバーヒ,マザ,小売業,96
6/11,-,3Q,連,3421,稲葉製作,東1,金属製品,273
6/11,-,3Q,連,3458,シーアールイー,東1,不動産業,435
6/11,-,2Q,連,3480,J.S.B.,東1,不動産業,348
6/11,-,本,連,3524,日東網,東1,繊維製品,40
6/11,-,3Q,連,3539,ＪＭＨＤ,東1,小売業,591
6/11,-,2Q,連,3653,モルフォ,マザ,情報・通信業,73
6/11,-,3Q,連,3662,エイチーム,東1,情報・通信業,344
6/11,-,2Q,連,3733,ソフトウェアサー,JQ,情報・通信業,593
6/11,-,本,連,3843,フリービット,東1,情報・通信業,221
6/11,-,本,連,3903,ｇｕｍｉ,東1,情報・通信業,331
6/11,-,2Q,連,3974,TBCSCAT,JQ,情報・通信業,27
6/11,-,2Q,連,3976,シャノン,マザ,情報・通信業,40
6/11,-,1Q,連,3995,SKIYAKI,マザ,情報・通信業,52
6/11,-,3Q,単,4014,カラダノート,マザ,情報・通信業,91
