順位,コード,銘柄名,主要,時刻,現在値,基準値比,基準値比(%),出来高,売買代金
1,3286,トラストＨＤ,マザーズ,07/05　23:31,583.1,82.1,16.39%,"62,400","36,683,380"
2,8923,トーセイ,東証１部,07/05　23:25,"1,293.9",147.9,12.91%,"6,000","7,694,090"
3,7047,ポート,マザーズ,07/05　23:07,822.5,69.5,9.23%,"30,200","24,688,650"
4,3297,東武住販,ＪＡＳＤＡＱ,07/05　20:06,"1,190",100,9.17%,200,"258,000"
5,6656,インスペック,東証２部,07/05　23:28,"2,200",158,7.74%,"1,500","3,341,520"
6,5759,日本電解,マザーズ,07/05　23:29,"4,448",313,7.57%,"75,600","338,368,300"
7,3698,ＣＲＩＭＷ,マザーズ,07/05　19:14,"1,780",111,6.65%,100,"178,000"
8,8202,ラオックス,東証２部,07/05　23:29,282.9,14.9,5.56%,"182,000","52,581,900"
9,6184,鎌倉新書,東証１部,07/05　17:05,"1,060",54,5.37%,200,"217,500"
10,7004,日立造,東証１部,07/05　23:29,769.9,38.9,5.32%,"14,600","11,267,340"
11,3390,ＩＮＥＳＴ,ＪＡＳＤＡＱ,07/05　23:26,142.1,7.1,5.26%,"357,000","50,986,250"
12,3238,セントラル総,東証２部,07/05　23:31,413,20,5.09%,"1,800","727,100"
13,3807,フィスコ,ＪＡＳＤＡＱ,07/05　17:54,189,8,4.42%,100,"18,900"
14,3353,メディ一光Ｇ,ＪＡＳＤＡＱ,07/05　22:19,"3,000",118,4.09%,200,"600,000"
15,8070,東京産,東証１部,07/05　22:54,630,22,3.62%,"2,200","1,416,800"
16,9479,インプレス,東証１部,07/05　22:20,245.1,8.1,3.42%,"7,000","1,712,620"
17,4709,ＩＤＨＤ,東証１部,07/05　22:42,920.1,28.1,3.15%,"3,400","3,132,160"
18,3409,北日紡,東証２部,07/05　20:29,201,6,3.08%,100,"20,100"
19,4932,アルマード,ＪＡＳＤＡＱ,07/05　23:29,"1,081",30,2.85%,"32,000","34,396,550"
20,3608,ＴＳＩＨＤ,東証１部,07/05　23:14,378.3,10.3,2.80%,"44,400","16,890,250"
21,7647,音通,東証２部,07/05　22:26,29.8,0.8,2.76%,"40,900","1,214,870"
22,5721,Ｓサイエンス,東証１部,07/05　21:49,38,1,2.70%,100,"3,800"
23,7435,ナデックス,ＪＡＳＤＡＱ,07/05　23:10,735,19,2.65%,200,"147,220"
24,8107,キムラタン,東証１部,07/05　21:25,23.6,0.6,2.61%,"3,900","92,110"
25,3839,ＯＤＫ,東証１部,07/05　20:54,855,21,2.52%,100,"85,500"
26,9318,アジア開発,東証２部,07/05　23:12,8.2,0.2,2.50%,"2,474,900","20,095,620"
27,2427,アウトソシン,東証１部,07/05　20:37,"2,250",54,2.46%,300,"670,000"
28,9110,ユナイテド海,東証１部,07/05　18:14,"2,295",54,2.41%,200,"454,500"
29,8894,ＲＥＶＯＬＵ,東証２部,07/05　23:15,30.7,0.7,2.33%,"21,100","644,400"
30,7974,任天堂,東証１部,07/05　22:53,"66,660",1510,2.32%,300,"19,981,000"
31,4594,ブライトパス,マザーズ,07/05　21:26,184,4,2.22%,900,"164,260"
32,1541,純プラ信,東証２部,07/05　23:11,"3,774",79,2.14%,710,"2,668,920"
33,2674,ハードオフ,東証１部,07/05　23:30,810,17,2.14%,"1,700","1,383,620"
34,8848,レオパレス,東証１部,07/05　22:23,143,3,2.14%,200,"28,500"
35,6861,キーエンス,東証１部,07/05　22:55,"57,930",1210,2.13%,200,"11,573,000"
36,2134,サンキャピタ,ＪＡＳＤＡＱ,07/05　22:38,38.8,0.8,2.11%,"1,900","73,020"
37,6925,ウシオ電,東証１部,07/05　23:25,"2,090",43,2.10%,200,"414,000"
38,2493,イーサポート,ＪＡＳＤＡＱ,07/05　21:05,939,19,2.07%,100,"93,900"
39,2931,ユーグレナ,東証１部,07/05　23:30,990,20,2.06%,"15,300","15,100,800"
40,2183,リニカル,東証１部,07/05　22:42,912,18,2.01%,"1,100","993,010"
41,1997,暁飯島,ＪＡＳＤＡＱ,07/05　18:17,"1,580",30,1.94%,200,"316,100"
42,4014,カラダノート,マザーズ,07/05　21:30,"1,526.9",27.9,1.86%,500,"770,570"
43,6564,ミダック,東証１部,07/05　21:13,"3,918",68,1.77%,200,"772,800"
44,7187,Ｊリース,東証１部,07/05　21:33,"1,202",20,1.69%,100,"120,200"
