コード,市場,名称,取引値,前日比(%),前日比,高値
1435,東証1部,(株)Ｒｏｂｏｔ　Ｈｏｍｅ,214,+30.49%,+50,214
2150,マザーズ,(株)ケアネット,"5,190",+12.34%,+570,"5,320"
2489,東証1部,(株)アドウェイズ,882,+20.49%,+150,882
2586,マザーズ,(株)フルッタフルッタ,248,+25.25%,+50,248
3675,東証1部,(株)クロス・マーケティンググループ,554,+16.88%,+80,554
3925,東証1部,(株)ダブルスタンダード,"4,080",+20.71%,+700,"4,080"
4435,マザーズ,(株)カオナビ,"3,815",+22.47%,+700,"3,815"
4517,東証1部,ビオフェルミン製薬(株),"3,400",+13.71%,+410,"3,490"
4552,東証1部,ＪＣＲファーマ(株),"3,330",+17.75%,+502,"3,330"
4933,マザーズ,(株)Ｉ−ｎｅ,"4,490",+18.47%,+700,"4,490"
6612,マザーズ,バルミューダ(株),"6,790",+17.27%,"+1,000","6,790"
6666,東証JQS,リバーエレテック(株),"1,095",+9.83%,+98,"1,147"
6709,東証2部,明星電気(株),902,+19.95%,+150,902
7068,マザーズ,(株)フィードフォース,"1,070",+16.30%,+150,"1,070"
7218,東証JQS,田中精密工業(株),642,+3.72%,+23,719
7291,東証1部,日本プラスト(株),668,+17.61%,+100,668
7936,東証1部,(株)アシックス,"2,178",+22.50%,+400,"2,178"
