日付,コード,市場,名称,取引値,前日比(%),前日比,高値
2021/09/15,2164,東証JQG,(株)地域新聞社,745,+12.88%,+85,760
2021/09/15,2424,東証1部,(株)ブラス,715,+16.26%,+100,715
2021/09/15,3936,マザーズ,(株)グローバルウェイ,"2,512",+24.85%,+500,"2,512"
2021/09/15,4011,マザーズ,(株)ヘッドウォータース,"9,760",+18.16%,"+1,500","9,760"
2021/09/15,4194,マザーズ,ビジョナル(株),"7,340",+12.58%,+820,"7,520"
2021/09/15,6630,東証1部,ヤーマン(株),"1,422",+26.74%,+300,"1,422"
2021/09/15,7041,マザーズ,ＣＲＧホールディングス(株),531,+2.71%,+14,617
2021/09/15,7050,マザーズ,(株)フロンティアインターナショナル,"2,692",+22.81%,+500,"2,692"
2021/09/15,7063,マザーズ,(株)Ｂｉｒｄｍａｎ,"1,388",+27.57%,+300,"1,388"
2021/09/15,7095,マザーズ,(株)Ｍａｃｂｅｅ　Ｐｌａｎｅｔ,"9,070",+19.82%,"+1,500","9,070"
2021/09/15,7683,マザーズ,(株)ダブルエー,"3,135",+5.84%,+173,"3,465"
2021/09/15,9322,東証1部,川西倉庫(株),"1,470",+17.22%,+216,"1,554"
