日付,順位,コード,銘柄名,市場,株価,S高,前日比,前日比(%),出来高,ＰＥＲ,ＰＢＲ,利回り
2021/07/09,1,8256,プロルート,ＪＱ,,S,+80,+30.77%,"25,385,500",96.6,10.02,－
2021/07/09,2,6172,メタップス,東Ｍ,,S,+300,+28.14%,"149,800",－,3.09,－
2021/07/09,3,2978,ツクルバ,東Ｍ,,S,+150,+17.48%,"557,500",－,11.42,－
2021/07/09,4,3697,ＳＨＩＦＴ,東１,,,"+2,540",+15.16%,"726,700",161,15.87,－
2021/07/09,5,6629,Ｔホライゾン,ＪＱ,,,+222,+14.07%,"1,949,900",10.5,2.60,1.11
2021/07/09,6,9418,ＵＳＥＮＨＤ,東１,,,+331,+13.57%,"2,529,200",22.2,5.21,0.45
2021/07/09,7,4485,ＪＴＯＷＥＲ,東Ｍ,,,+770,+12.11%,"1,495,100","1,563",21.92,－
2021/07/09,8,4583,カイオム,東Ｍ,,,+35,+11.95%,"8,742,100",－,4.28,－
2021/07/09,9,7527,システムソフ,東１,,,+25,+11.52%,"14,730,100",38.0,3.58,0.83
2021/07/09,10,6432,竹内製作所,東１,,,+294,+11.11%,"1,346,700",15.8,1.52,1.80
2021/07/09,11,1407,ウエストＨＤ,ＪＱ,,,+405,+10.90%,"1,485,500",34.6,8.02,1.21
2021/07/09,12,6846,中央製,名２,,,+170,+10.63%,"4,400",22.8,0.60,1.13
2021/07/09,13,9479,インプレス,東１,,,+23,+10.45%,"3,377,300",13.5,0.95,1.85
2021/07/09,14,6563,みらいＷＫＳ,東Ｍ,,,+111,+10.22%,"64,200",81.3,6.82,－
2021/07/09,15,7811,中本パックス,東１,,,+161,+10.13%,"211,800",12.6,1.06,3.31
2021/07/09,16,3418,バルニバービ,東Ｍ,,,+97,+8.79%,"24,000",10.3,4.22,0.62
2021/07/09,17,4424,Ａｍａｚｉａ,東Ｍ,,,+104,+8.49%,"161,300",80.6,4.37,－
2021/07/09,18,7608,ＳＫジャパン,東１,,,+35,+7.74%,"230,600",16.0,1.12,1.64
2021/07/09,19,4888,ステラファ,東Ｍ,,,+38,+7.69%,"665,600",－,66.25,－
2021/07/09,20,4464,ソフト９９,東２,,,+88,+7.45%,"38,700",12.6,0.56,2.68
2021/07/09,21,3186,ネクステージ,東１,,,+142,+7.14%,"2,924,400",21.4,4.51,0.33
2021/07/09,22,9928,ミロク情報,東１,,,+110,+7.14%,"577,400",21.1,2.52,2.30
2021/07/09,23,3187,サンワカンパ,東Ｍ,,,+26,+7.07%,"61,800","1,358",3.53,－
2021/07/09,24,4068,ベイシス,東Ｍ,,,+430,+7.00%,"531,700",58.0,13.64,－
2021/07/09,25,7361,ＨＣＨ,東Ｍ,,,+245,+6.90%,"123,700",23.7,8.05,1.29
2021/07/09,26,7094,ネクストーン,東Ｍ,,,+265,+6.86%,"219,400",85.9,15.34,－
2021/07/09,27,8016,オンワード,東１,,,+23,+6.82%,"4,239,700",7.7,0.83,3.33
2021/07/09,28,6668,ＡＤプラズマ,東２,,,+112,+6.50%,"156,100",23.9,2.39,0.54
2021/07/09,29,7698,アイスコ,ＪＱ,,,+132,+6.36%,"93,100",11.1,1.80,1.68
2021/07/09,30,4178,Ｓイノベ,東Ｍ,,,+200,+6.35%,"25,000",59.3,9.86,－
2021/07/09,31,4598,デルタフライ,東Ｍ,,,+98,+6.21%,"172,700",－,4.38,－
2021/07/09,32,4933,Ｉｎｅ,東Ｍ,,,+340,+6.07%,"78,400",56.4,6.94,－
2021/07/09,33,1773,ＹＴＬ,東外,,,+1,+5.88%,"104,000",－,－,－
2021/07/09,34,2183,リニカル,東１,,,+56,+5.86%,"296,400",－,4.00,1.38
2021/07/09,35,3791,ＩＧポート,ＪＱ,,,+102,+5.79%,"53,500",－,1.63,0.27
2021/07/09,36,7726,黒田精,東２,,,+146,+5.76%,"83,500",44.7,1.66,0.75
2021/07/09,37,5381,Ｍｉｐｏｘ,ＪＱ,,,+39,+5.74%,"464,600",34.1,1.95,－
2021/07/09,38,7062,フレアス,東Ｍ,,,+62,+5.73%,"5,100",26.7,1.71,－
2021/07/09,39,3663,アートＳＨＤ,東２,,,+46,+5.60%,"948,700",29.3,6.31,0.35
2021/07/09,40,6890,フェローテク,ＪＱ,,,+162,+5.58%,"1,467,400",9.3,1.70,0.91
2021/07/09,41,9973,小僧寿し,ＪＱ,,,+3,+5.45%,"2,582,400",59.8,24.37,－
2021/07/09,42,3377,バイク王,東２,,,+49,+5.43%,"2,969,600",12.2,2.59,1.16
2021/07/09,43,3825,リミックス,東２,,,+7,+5.34%,"1,886,800",6.5,3.24,－
2021/07/09,44,7087,ウイルテック,東２,,,+75,+5.17%,"53,300",12.4,1.39,2.49
2021/07/09,45,3964,オークネット,東１,,,+68,+5.11%,"137,700",15.4,1.90,2.00
2021/07/09,46,5942,フイルコン,東１,,,+25,+5.07%,"685,600",20.2,0.55,2.32
2021/07/09,47,4763,Ｃ＆Ｒ,東１,,,+79,+5.06%,"216,100",20.9,3.41,1.04
2021/07/09,48,1743,コーアツ工業,東２,,,+240,+4.96%,300,18.3,0.50,0.98
2021/07/09,49,3446,Ｊテック・Ｃ,東１,,,+155,+4.96%,"107,800",117,8.36,－
2021/07/09,50,3053,ペッパー,東１,,,+20,+4.94%,"1,317,400",305,12.47,－
2021/07/09,51,2341,アルバイトＴ,ＪＱ,,,+8,+4.91%,"853,100",267,1.06,1.75
2021/07/09,52,6034,ＭＲＴ,東Ｍ,,,+71,+4.84%,"66,500",74.2,5.83,－
2021/07/09,53,6618,大泉製,東Ｍ,,,+53,+4.84%,"400,300",41.0,3.59,0.70
2021/07/09,54,7090,リグア,東Ｍ,,,+170,+4.82%,"9,900",28.6,4.86,－
2021/07/09,55,6545,ＩＩＦ,東Ｍ,,,+26,+4.74%,"22,700",16.7,3.02,－
2021/07/09,56,3926,オープンドア,東１,,,+104,+4.71%,"324,800",－,11.56,－
2021/07/09,57,9327,イーロジット,ＪＱ,,,+73,+4.70%,"36,300",28.3,2.71,－
2021/07/09,58,4934,Ｐアンチエイ,東Ｍ,,,+720,+4.68%,"512,800",51.9,20.25,－
2021/07/09,59,3919,パイプドＨＤ,東１,,,+101,+4.67%,"265,800",19.7,3.68,1.10
2021/07/09,60,4476,ＡＩクロス,東Ｍ,,,+98,+4.65%,"74,200",26.2,6.99,－
2021/07/09,61,6094,フリークＨＤ,東Ｍ,,,+77,+4.62%,"205,700",－,5.31,－
2021/07/09,62,2162,ｎｍｓ,ＪＱ,,,+19,+4.58%,"248,600",12.1,1.54,1.15
2021/07/09,63,3441,山王,ＪＱ,,,+65,+4.55%,"35,300",7.3,1.39,0.33
2021/07/09,64,5699,イボキン,ＪＱ,,,+165,+4.53%,"34,800",16.9,2.00,1.05
2021/07/09,65,3933,チエル,ＪＱ,,,+49,+4.49%,"60,300",24.5,4.44,0.22
2021/07/09,66,4824,メディアＳ,東Ｍ,,,+29,+4.43%,"64,100",15.9,2.53,0.15
2021/07/09,67,4531,有機薬,東１,,,+16,+4.40%,"261,200",46.1,0.76,0.79
2021/07/09,68,4176,ココナラ,東Ｍ,,,+91,+4.39%,"145,600","1,098",171,－
2021/07/09,69,7590,タカショー,東１,,,+36,+4.38%,"181,100",13.9,1.29,2.33
2021/07/09,70,4764,ＮｅｘｕｓＢ,ＪＧ,,,+6,+4.32%,"838,500",3.7,0.28,－
2021/07/09,71,2780,コメ兵ＨＤ,東２,,,+56,+4.28%,"96,900",14.9,0.82,1.76
2021/07/09,72,6897,ツインバード,東２,,,+46,+4.28%,"915,200",25.2,1.40,1.34
2021/07/09,73,7372,デコルテＨＤ,東Ｍ,,,+47,+4.26%,"149,700",12.5,1.86,－
2021/07/09,74,3989,シェアテク,東Ｍ,,,+10,+4.24%,"201,900",－,4.19,－
2021/07/09,75,2667,イメージワン,ＪＱ,,,+31,+4.22%,"610,900",150,3.85,－
2021/07/09,76,2151,タケエイ,東１,,,+68,+4.21%,"395,400",17.9,1.41,1.78
2021/07/09,77,6063,ＥＡＪ,ＪＱ,,,+56,+4.19%,"81,000",－,3.81,－
2021/07/09,78,6083,ＥＲＩＨＤ,東１,,,+25,+4.15%,"27,900",18.6,1.79,2.39
2021/07/09,79,4430,東海ソフト,東１,,,+58,+4.11%,"59,900",18.5,1.98,1.02
2021/07/09,80,6575,ヒューマンＡ,東Ｍ,,,+29,+4.03%,"5,200",37.4,2.31,0.80
2021/07/09,81,3674,オークファン,東Ｍ,,,+53,+4.02%,"141,400",17.7,2.20,－
2021/07/09,82,4431,スマレジ,東Ｍ,,,+280,+4.02%,"126,000",169,19.17,－
2021/07/09,83,4421,ＤＩシステム,ＪＱ,,,+41,+4.00%,"11,600",26.9,3.27,1.17
2021/07/09,84,8746,第一商品,ＪＱ,,,+9,+4.00%,"1,146,300",－,0.82,－
2021/07/09,85,3686,ＤＬＥ,東１,,,+16,+3.95%,"2,794,500",－,5.29,－
2021/07/09,86,7921,宝＆ＣＯ,東１,,,+68,+3.93%,"259,300",13.9,1.08,3.22
2021/07/09,87,3624,アクセルＭ,東Ｍ,,,+15,+3.91%,"79,700",－,－,－
2021/07/09,88,7375,リファバスＧ,東Ｍ,,,+45,+3.90%,"11,800",198,9.41,－
2021/07/09,89,4380,Ｍマート,東Ｍ,,,+43,+3.86%,"6,800",46.0,5.82,0.86
2021/07/09,90,6198,Ｃａｒｅｅｒ,東Ｍ,,,+18,+3.86%,"97,000",410,3.52,－
2021/07/09,91,8013,ナイガイ,東１,,,+13,+3.86%,"32,400",35.9,0.42,－
2021/07/09,92,7036,ＥＭネットＪ,東Ｍ,,,+190,+3.85%,"8,300",33.7,7.66,0.82
2021/07/09,93,4883,モダリス,東Ｍ,,,+60,+3.82%,"179,300",－,7.30,－
2021/07/09,94,9424,日本通信,東１,,,+8,+3.79%,"4,633,200",－,136,－
2021/07/09,95,6613,ＱＤレーザ,東Ｍ,,,+56,+3.71%,"1,314,900",－,14.20,－
2021/07/09,96,2918,わらべ日洋,東１,,,+84,+3.69%,"315,600",14.7,0.92,1.70
2021/07/09,97,7187,ジェイリース,東１,,,+42,+3.67%,"213,500",15.0,8.71,1.68
2021/07/09,98,1552,ＶＩＸ短先物,東Ｅ,,,+97,+3.65%,"3,119,134",－,－,－
2021/07/09,99,2395,新日本科学,東１,,,+36,+3.65%,"1,509,800",10.9,2.71,1.96
2021/07/09,100,4168,ヤプリ,東Ｍ,,,+130,+3.64%,"56,000",－,14.98,－
2021/07/09,101,3925,ダブスタ,東１,,,+190,+3.63%,"25,600",34.4,13.24,1.29
2021/07/09,102,3238,セントラル総,東２,,,+15,+3.61%,"119,300",6.1,0.46,2.79
2021/07/09,103,4436,ミンカブ,東Ｍ,,,+130,+3.61%,"617,900",79.4,14.19,0.48
2021/07/09,104,4884,クリングル,東Ｍ,,,+36,+3.60%,"123,600",－,1.71,－
2021/07/09,105,6627,テラプローブ,東２,,,+62,+3.58%,"237,400",－,0.68,－
