日付,順位,コード,銘柄名,市場,株価,S高,前日比,出来高,ＰＥＲ,ＰＢＲ,利回り
2021/08/09,1,2561,ｉＳ日本国債,東Ｅ,"2,729",,-2,75.503,"+25,846.05",－,－
2021/08/09,2,1595,農中Ｊリート,東Ｅ,"2,183",,-34,"1,771.700","+10,980.05",－,－
2021/08/09,3,1486,日興米債ヘ無,東Ｅ,"21,640",,-60,15.256,"+6,310.08",－,－
2021/08/09,4,9176,佐渡汽,ＪＱ,259,,+17,873.100,"+5,425.95",－,－
2021/08/09,5,2521,日興ＳＰヘ有,東Ｅ,"1,544",,+7,"1,069.010","+4,956.81",－,－
2021/08/09,6,3936,ＧＷ,東Ｍ,"5,210",S,+705,"1,306.600","+4,421.11",64.0,31.17
2021/08/09,7,4593,ヘリオス,東Ｍ,"1,802",,+197,"1,985.800","+3,027.24",－,13.10
2021/08/09,8,2562,日興ダウヘ有,東Ｅ,"3,015",,+10,973.230,"+2,382.73",－,－
2021/08/09,9,6658,シライ電子,ＪＱ,257,,-11,472.100,"+2,321.03",14.4,1.35
2021/08/09,10,4800,オリコン,ＪＱ,"1,041",S,+150,781.500,"+2,268.18",16.6,4.09
2021/08/09,11,1592,日興ＪＰＸ日,東Ｅ,"1,586",,-2,4.390,"+2,062.56",－,－
2021/08/09,12,1651,大和高配４０,東Ｅ,"1,069",,-1,41.850,"+1,961.58",－,－
2021/08/09,13,6969,松尾電,東２,896,,+106,572.200,"+1,852.90",12.1,1.36
2021/08/09,14,1550,ＭＸ海外株式,東Ｅ,"3,480",,+10,19.540,"+1,760.95",－,－
2021/08/09,15,3036,アルコニクス,東１,"1,565",,+97,417.600,"+1,570.40",6.5,0.86
2021/08/09,16,6698,ヴィスコ,東２,"1,250",,+208,688.600,"+1,423.45",17.8,2.56
2021/08/09,17,4657,環境管理,ＪＱ,607,,+55,628.900,"+1,339.13",14.9,1.36
2021/08/09,18,1518,三井松島ＨＤ,東１,983,,+3,160.100,"+1,051.80",6.4,0.41
2021/08/09,19,1456,大和日経イン,東Ｅ,"4,490",,-25,12.921,+911.82,－,－
2021/08/09,20,8127,ヤマトインタ,東１,341,,0,150.400,+789.94,140,0.44
2021/08/09,21,5803,フジクラ,東１,642,,+90,"11,350.000",+785.20,11.8,1.05
2021/08/09,22,6584,三桜工,東１,"1,200",,-25,"3,962.700",+760.52,9.0,1.24
2021/08/09,23,8139,ナガホリ,東２,186,,+5,137.200,+716.67,19.0,0.24
2021/08/09,24,7990,グロブライド,東１,"6,410",S,"+1,000",518.600,+700.31,10.1,2.32
2021/08/09,25,7915,ＮＩＳＳＨＡ,東１,"1,850",,+248,"2,411.300",+688.26,6.1,0.98
2021/08/09,26,6993,大黒屋,東２,110,,+18,"52,797.300",+680.07,26.6,11.76
2021/08/09,27,4078,堺化学,東１,"2,077",,+195,216.200,+663.96,7.0,0.46
2021/08/09,28,4189,ＫＨネオケム,東１,"2,779",,+179,838.800,+631.30,9.4,2.16
2021/08/09,29,6158,和井田,ＪＱ,"1,196",,-265,179.300,+608.70,11.0,0.96
2021/08/09,30,4507,塩野義,東１,"6,038",,+315,"4,171.400",+598.49,18.2,2.11
2021/08/09,31,3392,デリカフＨＤ,東１,650,,-1,68.100,+581.00,36.2,1.35
2021/08/09,32,2454,オルアバウト,ＪＱ,831,,+92,146.200,+580.00,17.1,2.56
2021/08/09,33,4114,日触媒,東１,"5,700",,+380,342.900,+573.67,14.2,0.71
2021/08/09,34,3028,アルペン,東１,"3,540",,+540,997.900,+565.27,12.0,1.27
2021/08/09,35,7748,ホロン,ＪＱ,"3,230",,+200,100.500,+552.60,39.3,2.39
2021/08/09,36,8276,平和堂,東１,"2,096",,+23,"1,205.100",+550.35,11.1,0.66
2021/08/09,37,1466,大和４百Ｄイ,東Ｅ,"2,192",,-9,0.953,+548.30,－,－
2021/08/09,38,5632,菱製鋼,東１,"1,212",,+134,872.100,+515.02,6.2,0.46
2021/08/09,39,3153,八洲電機,東１,951,,-9,81.300,+511.28,12.3,0.95
2021/08/09,40,7745,Ａ＆Ｄ,東１,"1,089",,+95,631.700,+495.94,8.8,1.07
2021/08/09,41,9130,共栄タ,東１,"1,010",,+71,266.700,+487.44,8.6,0.55
2021/08/09,42,4241,アテクト,ＪＱ,"1,000",,+2,65.700,+471.30,29.4,2.48
2021/08/09,43,3836,アバント,東１,"1,476",,-99,213.800,+462.63,29.1,6.31
2021/08/09,44,2630,ＭＸ米ＳＰ有,東Ｅ,"11,420",,+30,53.168,+459.90,－,－
2021/08/09,45,1615,野村東証銀行,東Ｅ,144,,+2,934.800,+455.44,－,－
2021/08/09,46,1375,雪国まいたけ,東１,"1,601",,-67,234.900,+455.32,13.9,7.82
2021/08/09,47,9685,ＫＹＣＯＭ,ＪＱ,553,,-18,67.700,+454.92,12.2,1.01
2021/08/09,48,2384,ＳＢＳＨＤ,東１,"3,250",,-270,294.900,+444.10,12.1,2.25
2021/08/09,49,6461,日ピス,東１,"1,362",,+72,222.900,+443.66,6.2,0.34
2021/08/09,50,5955,ヤマシナ,東２,77,,0,810.800,+440.89,21.4,0.98
2021/08/09,51,6481,ＴＨＫ,東１,"2,784",,-436,"4,242.800",+439.87,14.1,1.23
2021/08/09,52,9171,栗林船,東２,425,,+19,117.500,+426.91,26.9,0.28
2021/08/09,53,7361,ＨＣＨ,東Ｍ,"2,957",,-308,336.500,+423.33,18.4,6.27
2021/08/09,54,4743,ＩＴＦＯＲ,東１,828,,+111,819.200,+420.13,12.6,1.63
2021/08/09,55,4826,ＣＩＪ,東１,836,,-5,70.700,+412.32,16.8,1.05
2021/08/09,56,6165,パンチ,東１,573,,-17,270.500,+406.55,8.6,0.91
2021/08/09,57,6480,トムソン,東１,640,,-22,458.500,+399.46,14.6,0.77
2021/08/09,58,7955,クリナップ,東１,558,,+17,106.200,+396.26,11.4,0.39
2021/08/09,59,6844,新電元,東１,"4,740",,+265,365.400,+392.45,8.4,0.95
2021/08/09,60,7974,任天堂,東１,"52,410",,"-4,080","3,159.200",+387.38,18.4,3.46
2021/08/09,61,2640,ＧＸゲー日株,東Ｅ,"2,397",,+42,6.209,+384.32,－,－
2021/08/09,62,6246,Ｔスマート,東２,"1,289",,-11,52.700,+383.49,20.0,0.95
2021/08/09,63,2633,野村ＳＰＨ無,東Ｅ,"2,250",,+15,9.010,+381.82,－,－
2021/08/09,64,1496,ｉＳＩＧ債Ｈ,東Ｅ,"2,627",,-10,4.119,+374.54,－,－
2021/08/09,65,3315,日本コークス,東１,112,,+7,"6,474.500",+369.95,6.0,0.63
2021/08/09,66,2378,ルネサンス,東１,"1,099",,+10,272.300,+365.47,51.9,2.09
2021/08/09,67,6460,セガサミー,東１,"1,500",,+67,"2,113.700",+362.11,25.2,1.23
2021/08/09,68,1888,若築建,東１,"1,800",,+77,160.300,+355.40,8.5,0.69
2021/08/09,69,8281,ゼビオＨＤ,東１,"1,069",,+75,336.000,+355.28,19.0,0.40
2021/08/09,70,5726,大阪チタ,東１,786,,+16,914.900,+352.92,－,0.99
2021/08/09,71,4465,ニイタカ,東１,"2,132",,+72,48.900,+340.54,11.4,1.11
2021/08/09,72,2628,ｉＦＥ科創板,東Ｅ,"2,690",,-50,4.288,+336.66,－,－
2021/08/09,73,6176,ブランジスタ,東Ｍ,456,,-14,44.500,+336.27,37.3,2.51
2021/08/09,74,9749,富士ソフト,東１,"5,860",,+110,130.200,+335.45,20.6,1.51
2021/08/09,75,6750,エレコム,東１,"1,811",,-106,699.200,+333.75,14.9,2.13
2021/08/09,76,6779,日電波,東１,790,,-40,480.100,+332.52,7.4,1.08
2021/08/09,77,1475,ｉＳＴＰＸ,東Ｅ,"1,961",,-2,496.806,+331.95,－,－
2021/08/09,78,7966,リンテック,東１,"2,505",,+92,181.000,+329.93,14.5,0.89
2021/08/09,79,8869,明和地所,東１,610,,-2,57.600,+329.85,5.5,0.58
2021/08/09,80,3135,マーケットＥ,東１,868,,-37,93.500,+321.17,－,3.12
2021/08/09,81,4061,デンカ,東１,"3,785",,-80,"1,244.300",+317.55,11.3,1.20
2021/08/09,82,3964,オークネット,東１,"1,504",,-64,91.200,+314.55,16.6,2.05
2021/08/09,83,7220,武蔵精密,東１,"2,217",,-90,929.700,+309.92,14.2,1.68
2021/08/09,84,2632,ＭＸナスヘ有,東Ｅ,"11,480",,+50,2.206,+308.52,－,－
2021/08/09,85,6208,石川製,東１,"1,571",,-1,56.100,+306.52,100,2.60
2021/08/09,86,1762,高松グループ,東１,"2,045",,+20,162.100,+306.27,9.2,0.62
2021/08/09,87,1789,ＥＴＳ・ＨＤ,ＪＱ,880,,-107,228.100,+303.72,23.0,2.27
2021/08/09,88,7520,エコス,東１,"1,909",,+31,59.700,+303.38,6.6,1.25
2021/08/09,89,4620,藤倉化,東１,507,,+8,63.700,+303.16,8.5,0.46
2021/08/09,90,4556,カイノス,ＪＱ,"1,073",,-56,45.400,+301.77,11.0,0.92
2021/08/09,91,1696,ＷＴコーン,東Ｅ,116,,+1,42.000,+300.00,－,－
2021/08/09,92,9450,ファイバーＧ,東１,"1,345",,+65,291.100,+299.86,29.2,7.87
2021/08/09,93,2626,ＧＸデジ日株,東Ｅ,"2,004",,+8,17.522,+299.41,－,－
2021/08/09,94,3447,信和,東１,686,,-5,82.200,+297.10,8.3,0.65
2021/08/09,95,4186,東応化,東１,"7,260",,+10,557.200,+292.39,21.3,1.92
2021/08/09,96,1883,前田道,東１,"1,928",,-151,431.400,+289.00,12.2,1.01
2021/08/09,97,1824,前田建,東１,846,,-63,"3,124.800",+287.40,6.7,0.61
2021/08/09,98,5970,ジーテクト,東１,"1,487",,-77,61.500,+286.79,7.4,0.47
2021/08/09,99,2767,フィールズ,東１,482,,-20,518.900,+286.37,－,0.55
2021/08/09,100,8410,セブン銀,東１,242,,0,"7,568.700",+283.09,14.4,1.22
2021/08/09,101,2191,テラ,ＪＱ,204,,-7,370.700,+282.16,－,9.23
2021/08/09,102,5186,ニッタ,東１,"2,741",,+32,40.200,+279.25,10.3,0.70
2021/08/09,103,9326,関通,東Ｍ,"3,885",,-165,122.200,+277.16,31.0,5.61
2021/08/09,104,8088,岩谷産,東１,"6,240",,-160,620.600,+275.44,14.8,1.46
2021/08/09,105,4312,サイバネット,東１,664,,-15,296.900,+267.91,13.5,1.35
